"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"1","B","E1","P01","LS",459,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.0738177207628215,-0.116600387275841
"2","B","E1","P02","LS",1995,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.979156325456081,-0.82095192383319
"3","B","E1","P03","LS",3531,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.247613083908503,-0.411397092134428
"4","B","E1","P04","S",4850,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.340986295013593,-0.384621955465969
"5","B","E1","P05","S",6386,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.0587211417741932,-0.0538519444429929
"6","B","E1","P06","S",7922,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.0343252513726337,-0.0566140897206637
"7","B","E1","P07","LS",9459,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,0.0362443322551367,0.077732588151243
"8","B","E1","P08","LS",10995,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.416402176512573,-0.4474986619521
"9","B","E1","P09","S",12530,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.320599890216514,-0.203714345095573
"10","B","E1","P10","S",14066,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.187385643017299,-0.156764236298039
"11","B","E1","P11","S",15602,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.487393769715247,-0.299171792128992
"12","B","E1","P12","LS",17139,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.552419321808934,-0.680393889528204
"13","B","E1","P13","S",18674,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.166149639881519,-0.169592473926537
"14","B","E1","P14","S",20210,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.101337699736596,0.143058222471017
"15","B","E1","P15","S",21746,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.250591853555813,-0.381289125701346
"16","B","E1","P16","S",23282,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.433061537667524,-0.298670371022634
"17","B","E1","P17","S",24818,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.275793378376772,-0.130729600184736
"18","B","E1","P18","LS",26355,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.449482920513043,-0.559490968448789
"19","B","E1","P19","LS",27891,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.0812786944829627,-0.0955571297551991
"20","B","E1","P20","S",29426,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.28466708862113,-0.304675667844465
"21","B","E1","P21","LS",30963,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,0.0738259233465086,0.0543678891828616
"22","B","E1","P22","LS",32499,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.299432847889792,-0.351028943048248
"23","B","E1","P23","LS",34035,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.63345058296297,-0.361464155170582
"24","B","E1","P24","S",35570,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.559538666582368,-0.418090599343372
"25","B","E1","P25","LS",37107,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.121697317236837,-0.316606445698422
"26","B","E1","P26","LS",38643,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.295212772386978,-0.310182370267509
"27","B","E1","P27","LS",40179,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.27261900166555,-0.41789931546923
"28","B","E1","P28","LS",41715,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-0.941986534005023,-0.91208533336045
"29","B","E1","P29","S",43250,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.117804416108325,-0.339519386953221
"30","B","E1","P30","S",44786,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.128892414565137,-0.143389005922154
"31","B","E1","P31","S",46322,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,-0.37950548973155,-0.442206160556433
"32","B","E1","P32","LS",47859,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,0.0232420994020239,0.176219029289484
"33","B","E1","P33","LS",49395,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,-0.0217735871374069,-0.00207494781558727
"34","B","E1","P34","LS",50931,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.288266909122471,-0.274711643166015
"35","B","E1","P35","S",52466,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.258052551111173,-0.188901877390345
"36","B","E1","P36","LS",54003,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,-0.0381210566267132,-0.292764473279186
"37","B","E1","P37","S",55539,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.275296104487344,0.118461372705691
