"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"1","B","E1","Left","P01","LS",163,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,0.042112883533259,0.0586787092140873,0.0255470578524307,-0.167455226815894,-0.201357070475422,-0.133553383156366
"2","B","E1","Left","P02","LS",3278,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-1.03885362363791,-1.16247236415134,-0.915234883124482,-0.979134281447809,-0.878381622261988,-1.07988694063363
"3","B","E1","Left","P03","LS",6519,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.302895656911407,-0.230937257424445,-0.374854056398369,-0.526386071481581,-0.742562004074976,-0.310210138888185
"4","B","E1","Left","P04","S",10172,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.359641593258674,-0.374800409998851,-0.344482776518497,-0.422959894292162,-0.445200278787167,-0.400719509797157
"5","B","E1","Left","P05","S",13166,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.0578172793471096,0.0807353946940846,-0.196369953388304,-0.00553775318158854,0.0400922542294183,-0.0511677605925953
"6","B","E1","Left","P06","S",16038,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,0.00525469666450908,0.131810159815999,-0.12130076648698,-0.0759439368715928,-0.0680603766492856,-0.0838274970939
"7","B","E1","Left","P07","LS",18667,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,0.102904745134132,0.222850047965887,-0.0170405576976223,0.0831586604747474,0.191856656224991,-0.0255393352754964
"8","B","E1","Left","P08","LS",21903,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.49589729881478,-0.392842862761559,-0.598951734868,-0.369677533862188,-0.341878310165623,-0.397476757558753
"9","B","E1","Left","P09","S",25507,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.235743502583349,-0.322108736864273,-0.149378268302425,-0.119666303670776,-0.144536336252158,-0.0947962710893939
"10","B","E1","Left","P10","S",28500,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.222384948601902,-0.259109033174714,-0.18566086402909,-0.0886426974001296,0.00814080381290004,-0.185426198613159
"11","B","E1","Left","P11","S",31129,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.542498981865183,-0.693175218809355,-0.391822744921011,-0.251351079611282,-0.342479039203572,-0.160223120018993
"12","B","E1","Left","P12","LS",34125,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.558379027841968,-0.546143537721196,-0.57061451796274,-0.612715624467793,-0.591390710596039,-0.634040538339548
"13","B","E1","Left","P13","S",37481,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,0.0558452200373378,-0.0406079422980562,0.152298382372732,-0.0379179518581475,-0.13749145044268,0.0616555467263847
"14","B","E1","Left","P14","S",40110,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.13826518752044,0.0185430731461783,0.257987301894701,0.218553341538319,0.0869101730592879,0.350196510017351
"15","B","E1","Left","P15","S",43116,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.191539392078284,-0.116815747050653,-0.266263037105915,-0.62063581884356,-0.432894133628792,-0.808377504058327
"16","B","E1","Left","P16","S",46828,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.391728128598599,-0.397805091858036,-0.385651165339163,-0.278754228635663,-0.319772125956542,-0.237736331314785
"17","B","E1","Left","P17","S",49822,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.228191568850062,-0.119874519842007,-0.336508617858117,-0.0956153683647197,-0.00711185916873113,-0.184118877560708
"18","B","E1","Left","P18","LS",52817,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.466446258271993,-0.367859137583719,-0.565033378960268,-0.673165220571869,-0.298057685662378,-1.04827275548136
"19","B","E1","Left","P19","LS",55811,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.0229614988614301,-0.0381162103186219,-0.00780678740423816,-0.00822901726122087,-0.0364560679928033,0.0199980334703615
"20","B","E1","Left","P20","S",58464,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.254309466230237,-0.304998004647518,-0.203620927812956,-0.441206317861735,-0.13424098789914,-0.748171647824331
"21","B","E1","Left","P21","LS",61674,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,0.0634436786544915,0.0344102418557112,0.0924771154532718,0.0648278174555284,0.08780458276399,0.0418510521470669
"22","B","E1","Left","P22","LS",65159,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.291710595857637,-0.164798947024791,-0.418622244690484,-0.244161625800285,-0.0891752030718341,-0.399148048528735
"23","B","E1","Left","P23","LS",68152,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.529331394757868,-0.504508638620619,-0.554154150895118,-0.334541689750724,-0.168558391841757,-0.500524987659691
"24","B","E1","Left","P24","S",71510,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.541208555320062,-0.694384365095162,-0.388032745544961,-0.553769573009041,-0.514584889639154,-0.592954256378928
"25","B","E1","Left","P25","LS",74140,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.13346995842147,-0.177697501988331,-0.0892424148546096,-0.335959594772617,-0.499057366504038,-0.172861823041196
"26","B","E1","Left","P26","LS",77254,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.294483501412368,-0.268377596330978,-0.320589406493758,-0.3554103276847,-0.30648248075228,-0.40433817461712
"27","B","E1","Left","P27","LS",80247,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.284366440732372,-0.190734137202561,-0.377998744262182,-0.364497836442037,-0.322280075614057,-0.406715597270016
