"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"1","B","E1","P01","LS",497,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,32,-0.176822709140507,-0.126849564393041
"2","B","E1","P02","LS",2033,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,32,-1.13148268458777,-0.970627623512087
"3","B","E1","P03","LS",3569,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,32,-0.189090734029935,-0.372425344156992
"4","B","E1","P04","S",4658,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,32,-0.188657244024566,-0.236366873119782
"5","B","E1","P05","S",6194,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,32,0.1116837369741,0.12753246130169
"6","B","E1","P06","S",7730,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,32,-0.268133939880379,-0.167430115989131
"7","B","E1","P07","LS",9727,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,32,0.0247228673306742,0.00636813670200236
"8","B","E1","P08","LS",11263,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,32,-0.4237800407897,-0.478303487623849
"9","B","E1","P09","S",12338,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,32,-0.387038843837699,-0.262265951481323
"10","B","E1","P10","S",13874,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,32,-0.200002414809429,-0.184790006310302
"11","B","E1","P11","S",15410,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,32,-0.421646025130909,-0.314187866658402
"12","B","E1","P12","LS",17407,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,32,-0.434128108235746,-0.408187053451319
"13","B","E1","P13","S",18482,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,32,-0.188168778635182,-0.273295790700514
"14","B","E1","P14","S",20018,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",32,-0.0843681584446281,-0.0892787880220841
"15","B","E1","P15","S",21554,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,32,-0.307275187406353,-0.363738734284478
"16","B","E1","P16","S",23090,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,32,-0.521714840262718,-0.478129546556267
"17","B","E1","P17","S",24626,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,32,-0.256955678198385,-0.135747128483522
"18","B","E1","P18","LS",26623,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,32,-0.395494238497216,-0.64481174966923
"19","B","E1","P19","LS",28159,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,32,0.00881527042231221,0.0399381388041545
"20","B","E1","P20","S",29234,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,32,-0.35726389316367,-0.336838635412449
"21","B","E1","P21","LS",31231,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,32,-0.13498805703222,-0.127616934062199
"22","B","E1","P22","LS",32767,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,32,-0.324523273131405,-0.284110976757653
"23","B","E1","P23","LS",34303,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,32,-0.526922395127068,-0.223912005784856
"24","B","E1","P24","S",35378,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,32,-0.667242378444597,-0.62400623688823
"25","B","E1","P25","LS",37375,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,32,-0.199782477805467,-0.36905979500309
"26","B","E1","P26","LS",38911,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,32,-0.241783754473776,-0.237856580679104
"27","B","E1","P27","LS",40447,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,32,0.0600266910061247,-0.0816609754636228
"28","B","E1","P28","LS",41983,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,32,-1.08843278763766,-1.16659237386335
"29","B","E1","P29","S",43058,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,32,-0.167050793123464,-0.26431796935464
"30","B","E1","P30","S",44594,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,32,-0.242498800704986,-0.315779480242307
"31","B","E1","P31","S",46130,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,32,-0.244681876302233,-0.215806001495181
"32","B","E1","P32","LS",48127,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,32,0.0540581990008157,0.167070536087372
"33","B","E1","P33","LS",49663,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,32,-0.0522614917249129,-0.0587214879116711
"34","B","E1","P34","LS",51199,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,32,-0.153024817434046,-0.221917046038669
"35","B","E1","P35","S",52274,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,32,-0.149643368838097,-0.186528795057657
