"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"1","B","E1","Left","P01","LS",75,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,30,0.0145609072609972,0.0495656800658781,-0.0204438655438836,-0.0731152023107912,-0.0202679261998765,-0.125962478421706
"2","B","E1","Left","P02","LS",3312,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,30,-1.10350712606629,-1.08797634256371,-1.11903790956887,-1.023585145279,-0.932352945298871,-1.11481734525913
"3","B","E1","Left","P03","LS",6917,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,30,-0.280675931923573,-0.310109062461376,-0.251242801385769,-0.502079935744232,-0.820474820880295,-0.183685050608169
"4","B","E1","Left","P04","S",9964,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,30,-0.257855037882649,-0.33099138097325,-0.184718694792047,-0.355117654911318,-0.495463435112217,-0.214771874710419
"5","B","E1","Left","P05","S",12836,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,30,0.0950139685921872,0.267105743755464,-0.0770778065710892,0.167070994074778,0.251805164394901,0.0823368237546546
"6","B","E1","Left","P06","S",15829,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,30,-0.158928250512817,-0.0728710768364864,-0.244985424189149,-0.205842335212126,-0.323103457083684,-0.0885812133405692
"7","B","E1","Left","P07","LS",18823,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,30,0.0257274924236247,0.0521159557760211,-0.000660970928771611,0.000330812806626698,0.0540186016538293,-0.0533569760405759
"8","B","E1","Left","P08","LS",21816,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,30,-0.386777971485875,-0.326820085521281,-0.446735857450469,-0.353787147846735,-0.407656522601902,-0.299917773091568
"9","B","E1","Left","P09","S",25299,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,30,-0.325502321586531,-0.348618247964164,-0.302386395208899,-0.273024364894191,-0.229721140894138,-0.316327588894245
"10","B","E1","Left","P10","S",28170,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,30,-0.276206186543386,-0.301052179061535,-0.251360194025238,-0.146875862894287,-0.157498743947456,-0.136252981841118
"11","B","E1","Left","P11","S",31163,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,30,-0.438538777119045,-0.463920897067367,-0.413156657170723,-0.295316447868655,-0.521917031500978,-0.068715864236332
"12","B","E1","Left","P12","LS",34523,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,30,-0.503979240132588,-0.521414587744444,-0.486543892520731,-0.43668476037247,-0.397548674118274,-0.475820846626666
"13","B","E1","Left","P13","S",37394,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,30,-0.0872905034583246,-0.145420762891252,-0.0291602440253969,-0.333725214491366,-0.492455822227868,-0.174994606754863
"14","B","E1","Left","P14","S",40144,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",30,-0.0366419691441613,-0.18024410100179,0.106960162713468,-0.0896283629888433,-0.230768411536403,0.0515116855587167
"15","B","E1","Left","P15","S",43137,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,30,-0.216694884055585,-0.16006976246091,-0.27332000565026,-0.487930475313244,-0.448416446898266,-0.527444503728222
"16","B","E1","Left","P16","S",46498,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,30,-0.506665866360307,-0.50382420997935,-0.509507522741265,-0.432347092928422,-0.555503773483289,-0.309190412373555
"17","B","E1","Left","P17","S",49735,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,30,-0.287618892870024,-0.252149163375377,-0.323088622364671,-0.21171656496756,-0.18959348529927,-0.23383964463585
"18","B","E1","Left","P18","LS",53202,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,30,-0.44128017234143,-0.35395617293879,-0.52860417174407,-0.820531621969014,-0.600858049159796,-1.04020519477823
"19","B","E1","Left","P19","LS",56209,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,30,0.0572913728972559,0.0546461257283124,0.0599366200661993,0.0819642201025793,0.0876871988743854,0.0762412413307732
"20","B","E1","Left","P20","S",58593,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,30,-0.307347343266116,-0.251162845541343,-0.363531840990888,-0.350671846972905,-0.136093249496961,-0.565250444448849
