"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"1","B","E1","P01","LS",459,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.103004988377685,-0.0102491771171998
"2","B","E1","P02","LS",1995,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.152326359131691,-0.149675699678896
"3","B","E1","P03","LS",3531,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,0.0585223498785678,0.0389717479774355
"4","B","E1","P04","S",4850,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,0.152329050989027,0.148255082346187
"5","B","E1","P05","S",6386,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,0.170404878748293,0.181384405744683
"6","B","E1","P06","S",7922,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.233808688507745,-0.110816026268467
"7","B","E1","P07","LS",9459,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.0115214649244626,-0.0713644514492406
"8","B","E1","P08","LS",10995,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.00737786427712689,-0.0308048256717486
"9","B","E1","P09","S",12530,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.0664389536211846,-0.0585516063857497
"10","B","E1","P10","S",14066,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.01261677179213,-0.0280257700122626
"11","B","E1","P11","S",15602,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,0.0657477445843383,-0.0150160745294097
"12","B","E1","P12","LS",17139,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,0.118291213573188,0.272206836076885
"13","B","E1","P13","S",18674,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.0220191387536632,-0.103703316773977
"14","B","E1","P14","S",20210,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,-0.185705858181224,-0.232337010493101
"15","B","E1","P15","S",21746,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.0566833338505396,0.017550391416868
