"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Single_Med","P_Avg_Single_Med","CP_Avg_Hem_r","P_Avg_Hem_r","CP_Avg_Single_r","P_Avg_Single_r","CP_Avg_Single_Med_r","P_Avg_Single_Med_r"
"1","B","E1","Left","P01","LS",163,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,0.0255470578524307,-0.133553383156366,-0.0275519762722618,0.0943400245051025,-0.00911302914820925,0.181089144275545,-0.0459909233963143,0.00759090473465998
"2","B","E1","Left","P02","LS",3278,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.915234883124482,-1.07988694063363,-0.0646535024283763,-0.0444508638311917,0.0744960215876356,-0.0539713230368837,-0.203803026444391,-0.0349304046254997
"3","B","E1","Left","P03","LS",6519,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.374854056398369,-0.310210138888185,0.0222197249878342,0.0243061357373486,-0.0791718050369317,-0.0779128168053189,0.1236112550126,0.126525088280016
"4","B","E1","Left","P04","S",10172,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.344482776518497,-0.400719509797157,0.101786555376025,0.067842239380844,0.0438090290256012,-0.0502631563250506,0.15976408172645,0.185947635086739
"5","B","E1","Left","P05","S",13166,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.196369953388304,-0.0511677605925953,0.152831247939297,0.172608747256367,0.186370349061379,0.211712910165483,0.119292146817214,0.13350458434725
"6","B","E1","Left","P06","S",16038,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.12130076648698,-0.0838274970939,-0.164182947177327,-0.129898398340534,-0.204681236652485,-0.255043080434398,-0.123684657702168,-0.00475371624666922
"7","B","E1","Left","P07","LS",18667,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.0170405576976223,-0.0255393352754964,-0.0771772527105074,-0.0828278476681207,-0.170734092189866,-0.137838054571162,0.0163795867688507,-0.0278176407650795
"8","B","E1","Left","P08","LS",21903,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.598951734868,-0.397476757558753,0.109119327328905,0.0158903860154526,0.0660227772402789,-0.0657782124362797,0.152215877417531,0.0975589844671849
"9","B","E1","Left","P09","S",25507,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.149378268302425,-0.0947962710893939,-0.0897588190031825,-0.153358061223415,-0.0265095110998915,-0.0851848046419795,-0.153008126906473,-0.221531317804851
"10","B","E1","Left","P10","S",28500,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.18566086402909,-0.185426198613159,-0.0538212379414839,-0.0582331654941573,-0.0419431458868205,-0.165639547760356,-0.0656993299961474,0.0491732167720411
"11","B","E1","Left","P11","S",31129,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.391822744921011,-0.160223120018993,0.103960204746138,-0.0439653682573728,0.229254321741988,-0.179437992297407,-0.0213339122497118,0.091507255782661
"12","B","E1","Left","P12","LS",34125,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.57061451796274,-0.634040538339548,0.0543997877093801,0.176030864095323,0.0247289499767511,0.193842036477765,0.0840706254420089,0.158219691712882
"13","B","E1","Left","P13","S",37481,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,0.152298382372732,0.0616555467263847,-0.143135723495662,-0.295807262633218,-0.104812820593196,-0.354964371785189,-0.181458626398129,-0.236650153481248
"14","B","E1","Left","P14","S",40110,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.257987301894701,0.350196510017351,-0.174907156664601,-0.308181704527163,-0.198787174147969,-0.317678584595691,-0.151027139181233,-0.298684824458634
"15","B","E1","Left","P15","S",43116,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.266263037105915,-0.808377504058327,-0.0251554919773009,0.132705343530316,-0.0432540154102569,-0.0155223132694741,-0.00705696854434468,0.280933000330105
"16","B","E1","Left","P16","S",46828,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.385651165339163,-0.237736331314785,-0.114937737761708,-0.153592864292759,-0.106019118121314,-0.235731647526747,-0.123856357402102,-0.0714540810587705
"17","B","E1","Left","P17","S",49822,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.336508617858117,-0.184118877560708,-0.0594273240199619,-0.11610119660284,-0.13227464353337,-0.182481626130539,0.0134199954934463,-0.0497207670751423
"18","B","E1","Left","P18","LS",52817,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,-0.565033378960268,-1.04827275548136,0.0251660859305629,-0.147366401397145,0.0139029646449286,-0.302800363497417,0.0364292072161975,0.00806756070312864
"19","B","E1","Left","P19","LS",55811,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,-0.00780678740423816,0.0199980334703615,0.0802528717586861,0.0901932373638002,0.0927623360469344,0.124143266867189,0.0677434074704375,0.0562432078604117
"20","B","E1","Left","P20","S",58464,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,-0.203620927812956,-0.748171647824331,-0.0530378770358783,0.0905344708888307,0.0538351591061746,-0.00185226159782098,-0.159910913177931,0.182921203375482
"21","B","E1","Left","P21","LS",61674,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,0.0924771154532718,0.0418510521470669,-0.223933395741542,-0.176668133160915,-0.288184119496669,-0.198948797903848,-0.159682671986414,-0.154387468417982
"22","B","E1","Left","P22","LS",65159,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,-0.418622244690484,-0.399148048528735,-0.00396201603240987,0.0719694678796638,-0.119638862786988,-0.02419812879176,0.111714830722168,0.168137064551088
"23","B","E1","Left","P23","LS",68152,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,-0.554154150895118,-0.500524987659691,0.0828081594604311,0.157538265222909,0.0517396057259883,0.193393803719564,0.113876713194874,0.121682726726255
"24","B","E1","Left","P24","S",71510,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.388032745544961,-0.592954256378928,-0.13499353306995,-0.166100731666395,-0.206869506684621,-0.278589224681019,-0.0631175594552794,-0.0536122386517727
"25","B","E1","Left","P25","LS",74140,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.0892424148546096,-0.172861823041196,-0.0903203011365451,-0.0389615767816457,-0.0516683739476008,-0.0256847262150676,-0.12897222832549,-0.0522384273482242
"26","B","E1","Left","P26","LS",77254,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,-0.320589406493758,-0.40433817461712,0.0530999442354858,0.0723599643987991,0.113809600953832,0.0977599940516726,-0.00760971248286008,0.0469599347459256
"27","B","E1","Left","P27","LS",80247,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,-0.377998744262182,-0.406715597270016,0.288419873064341,0.344515394762308,0.486721350196869,0.376583982208973,0.0901183959318138,0.312446807315642
"28","B","E1","Left","P28","LS",83240,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-1.04162641471478,-0.771001218465234,-0.0716513738267208,-0.236216282139027,-0.124847841754466,-0.345034359618806,-0.0184549058989754,-0.127398204659249
"29","B","E1","Left","P29","S",86844,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.0186727378369572,-0.299244353731533,-0.175340123986101,0.0949872942177127,-0.144952502794686,0.113224484423191,-0.205727745177516,0.0767501040122344
"30","B","E1","Left","P30","S",89837,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,0.00559927685774447,-0.3290080809022,-0.123280991255694,-0.149673293384733,-0.21629978994273,-0.151435999306523,-0.0302621925686567,-0.147910587462944
