subID,Condition,Skill,Handedness,Footedness,Age,Gender,Soccer_Time,Age_Last_Comp,Highest_Level,Currently_Play,Direction,Height,Total,Direction_Perc,Height_Perc,Total_Perc,Misc
P01,N,LS,R,R,34,M,0,,,0,43,46,25,0.47,0.5,0.27,
P01,O,LS,R,R,34,M,0,,,0,47,45,20,0.52,0.5,0.22,
P01,B,LS,R,R,34,M,0,,,0,47,49,24,0.51,0.53,0.26,
P02,N,LS,R,R,26,M,3,13,,0,66,49,37,0.72,0.53,0.4,
P02,O,LS,R,R,26,M,3,13,,0,48,42,21,0.53,0.47,0.23,
P02,B,LS,R,R,26,M,3,13,,0,61,48,35,0.66,0.52,0.38,
P03,N,LS,R,R,24,M,1,,,0,48,45,26,0.52,0.49,0.28,
P03,O,LS,R,R,24,M,1,,,0,57,46,31,0.63,0.51,0.34,
P03,B,LS,R,R,24,M,1,,,0,64,47,35,0.7,0.51,0.38,
P04,O,S,R,R,33,M,29,,College,3.5,50,37,24,0.56,0.41,0.27,
P04,B,S,R,R,33,M,29,,College,3.5,54,45,26,0.59,0.49,0.28,
P04,N,S,R,R,33,M,29,,College,3.5,70,46,36,0.76,0.5,0.39,
P05,O,S,R,R,52,M,48,,Semi-Pro,3,49,47,31,0.54,0.52,0.34,
P05,B,S,R,R,52,M,48,,Semi-Pro,3,66,47,37,0.72,0.51,0.4,
P05,N,S,R,R,52,M,48,,Semi-Pro,3,69,45,37,0.75,0.49,0.4,
P06,O,S,R,R,50,M,42,,Unknown,1,51,43,23,0.57,0.48,0.26,
P06,B,S,R,R,50,M,42,,Unknown,1,60,42,28,0.65,0.46,0.3,
P06,N,S,R,R,50,M,42,,Unknown,1,64,44,32,0.7,0.48,0.35,
P07,N,LS,R,R,27,M,0,,,0.04,58,49,37,0.63,0.53,0.4,
P07,B,LS,R,R,27,M,0,,,0.04,62,54,38,0.67,0.59,0.41,
P07,O,LS,R,R,27,M,0,,,0.04,54,45,28,0.6,0.5,0.31,
P08,N,LS,R,R,26,F,0,,,0,47,51,26,0.51,0.55,0.28,
P08,B,LS,R,R,26,F,0,,,0,46,48,22,0.5,0.52,0.24,
P08,O,LS,R,R,26,F,0,,,0,43,45,24,0.48,0.5,0.27,
P09,O,S,R,R,38,M,30,,College,2,63,44,31,0.7,0.49,0.34,
P09,B,S,R,R,38,M,30,,College,2,70,39,31,0.76,0.42,0.34,
P09,N,S,R,R,38,M,30,,College,2,77,43,36,0.84,0.47,0.39,
P10,O,S,R,R,27,F,21,22,College,0,49,36,20,0.54,0.4,0.22,
P10,B,S,R,R,27,F,21,22,College,0,53,45,30,0.58,0.49,0.33,
P10,N,S,R,R,27,F,21,22,College,0,52,48,27,0.57,0.52,0.29,
P11,O,S,R,R,28,M,23,,Club College,1.5,49,49,30,0.54,0.54,0.33,
P11,B,S,R,R,28,M,23,,Club College,1.5,62,48,33,0.67,0.52,0.36,
P11,N,S,R,R,28,M,23,,Club College,1.5,60,50,34,0.65,0.54,0.37,
P12,N,LS,R,R,26,M,1,6,,0,63,46,33,0.68,0.5,0.36,
P12,B,LS,R,R,26,M,1,6,,0,58,43,31,0.63,0.47,0.34,
P12,O,LS,R,R,26,M,1,6,,0,53,41,23,0.59,0.46,0.26,
P13,O,S,R,L,22,F,16,,College,3,46,43,22,0.51,0.48,0.24,
P13,B,S,R,L,22,F,16,,College,3,69,53,36,0.75,0.58,0.39,
P13,N,S,R,L,22,F,16,,College,3,72,59,48,0.78,0.64,0.52,
P14,O,S,R,R,27,F,10,26,College,0,54,45,32,0.6,0.5,0.36,
P14,B,S,R,R,27,F,10,26,College,0,54,49,29,0.59,0.53,0.32,Pandemic
P14,N,S,R,R,27,F,10,26,College,0,49,45,24,0.53,0.49,0.26,
P15,O,S,L,R,27,F,21,,High School,3,56,37,25,0.62,0.41,0.28,
P15,B,S,L,R,27,F,21,,High School,3,53,45,24,0.58,0.49,0.26,
P15,N,S,L,R,27,F,21,,High School,3,58,47,33,0.63,0.51,0.36,
P16,O,S,R,R,18,F,10,17,High School,0,50,37,18,0.56,0.41,0.2,
P16,B,S,R,R,18,F,10,17,High School,0,57,43,30,0.62,0.47,0.33,
P16,N,S,R,R,18,F,10,17,High School,0,61,47,32,0.66,0.51,0.35,
P17,O,S,R,R,26,M,10,,College,1,55,42,22,0.61,0.47,0.24,
P17,B,S,R,R,26,M,10,,College,1,65,51,40,0.71,0.55,0.43,
P17,N,S,R,R,26,M,10,,College,1,65,50,35,0.71,0.54,0.38,
P18,N,LS,R,R,26,F,3,11,,0,56,42,27,0.61,0.46,0.29,
P18,B,LS,R,R,26,F,3,11,,0,58,41,20,0.63,0.45,0.22,
P18,O,LS,R,R,26,F,3,11,,0,45,43,22,0.5,0.48,0.24,
P19,N,LS,R,R,31,M,2,10,,0,67,47,34,0.73,0.51,0.37,
P19,B,LS,R,R,31,M,2,10,,0,68,45,31,0.74,0.49,0.34,
P19,O,LS,R,R,31,M,2,10,,0,50,44,25,0.56,0.49,0.28,
P20,O,S,R,R,33,M,28,,College,1.5,51,41,23,0.57,0.46,0.26,
P20,B,S,R,R,33,M,28,,College,1.5,58,37,28,0.63,0.4,0.3,
P20,N,S,R,R,33,M,28,,College,1.5,68,48,37,0.74,0.52,0.4,
P21,N,LS,R,R,29,M,1.5,11,,0,60,50,32,0.65,0.54,0.35,
